Bouguer	eTh	eU	GT	Kperc	SRTM	SIGLA_UNID	X	Y
-45.3698	11.59	2.74	0.2729	3.37	297.92	A3_gamma_cz	545375.0	9275625.0
-44.8942	5.04	1.16	0.0845	1.87	292.57	A3_gamma_cz	548500.0	9274875.0
-43.6815	6.49	1.74	0.2712	2.13	270.66	A3_gamma_cz	549750.0	9276000.0
-45.2029	10.88	3.11	0.045	4.78	326.24	A3_gamma_cz	543250.0	9273875.0
-45.9353	5.14	1.03	0.0424	2.1	260.1	A3_gamma_cz	548250.0	9272125.0
-43.7128	1.69	0.61	0.3581	1.17	295.06	A3_gamma_cz	538875.0	9274375.0
-43.4955	5.89	1.49	0.1624	0.8	265.79	A3_gamma_cz	552125.0	9273250.0
-44.838	4.09	1.5	0.0605	2.11	282.68	A3_gamma_cz	547500.0	9275500.0
-45.7334	8.6	2.93	0.1987	4.15	358.7	A3_gamma_cz	544125.0	9276000.0
-45.257	1.55	0.78	0.0791	1.1	273.38	A3_gamma_cz	545000.0	9273625.0
-40.8718	5.1	1.74	0.1455	0.73	296.17	A3_gamma_cz	554750.0	9273250.0
-43.5901	2.53	1.47	0.3174	0.27	260.64	A3_gamma_cz	552250.0	9272375.0
-44.869	6.81	1.61	0.0614	1.48	264.1	A3_gamma_cz	550625.0	9273125.0
-45.5057	5.07	0.65	0.0651	1.39	276.43	A3_gamma_cz	548625.0	9273375.0
-45.3676	6.54	1.6	0.1367	3.04	328.63	A3_gamma_cz	545375.0	9276250.0
-45.7702	1.66	0.71	0.0438	0.49	264.81	A3_gamma_cz	547375.0	9272500.0
-44.8715	5.4	1.32	0.0154	1.59	264.7	A3_gamma_cz	550750.0	9272625.0
-45.0584	4.18	2.05	0.0482	1.53	289.05	A3_gamma_cz	549000.0	9274375.0
-45.9866	3.25	1.51	0.4202	1.56	313.29	A3_gamma_cz	542500.0	9276125.0
-45.0363	1.39	0.88	0.0261	0.85	263.77	A3_gamma_cz	550625.0	9271875.0
-45.6215	11.99	2.66	0.0889	4.47	317.76	A3_gamma_cz	542875.0	9274875.0
-45.3907	4.9	1.29	0.0412	0.98	291.28	A3_gamma_cz	544625.0	9274375.0
-45.0267	12.06	2.89	0.0689	4.69	436.15	A3_gamma_cz	540625.0	9275000.0
